variety,hectares,plowing_count,weeding_count,fertilizer_count,ratoon_stage,rssi_infected,predicted_lkg_tc,predicted_tc_ha,predicted_lkg
VMC 84-524,1.0,3,3,3,1,1,2.08,242.0,503.36
VMC 84-524,1.5,3,2,3,1,1,2.01,345.0,693.45
VMC 84-524,2.0,2,2,2,2,1,1.92,325.0,624.00
VMC 84-524,2.5,3,3,2,2,1,1.95,417.5,814.12
VMC 84-524,3.0,2,3,3,3,1,2.02,420.0,848.40
VMC 84-524,3.5,3,3,3,3,1,2.10,486.0,1020.60
VMC 84-524,2.0,1,1,1,2,3,1.48,260.0,384.80
VMC 84-524,4.0,2,1,2,3,2,1.66,516.0,856.56
VMC 84-947,1.0,3,3,3,1,1,1.94,292.0,566.48
VMC 84-947,1.5,2,3,2,1,1,1.88,430.5,809.34
VMC 84-947,2.0,3,2,2,2,1,2.08,500.0,1040.00
VMC 84-947,2.5,2,2,3,2,1,2.04,620.0,1264.80
VMC 84-947,3.0,3,3,3,3,1,2.15,560.0,1204.00
VMC 84-947,3.5,2,3,3,3,1,2.11,648.0,1367.28
VMC 84-947,2.0,1,1,1,2,3,1.55,420.0,651.00
VMC 84-947,4.0,2,1,2,3,2,1.70,690.0,1173.00
MAURITIO RC888,1.0,3,3,3,1,1,2.24,280.0,627.20
MAURITIO RC888,1.5,2,3,3,1,1,2.20,402.0,884.40
MAURITIO RC888,2.0,3,2,2,2,1,2.18,492.0,1072.56
MAURITIO RC888,2.5,2,2,3,2,1,2.15,610.0,1311.50
MAURITIO RC888,3.0,3,3,3,3,1,2.03,455.0,923.65
MAURITIO RC888,3.5,2,3,3,3,1,1.99,548.0,1090.52
MAURITIO RC888,2.0,1,1,1,2,3,1.46,388.0,566.48
MAURITIO RC888,4.0,2,1,2,3,2,1.65,562.0,927.30
